TABLE_SCHEMA,TABLE_NAME,cols,n_cols
AetnaRxCompliance,ClaimRootRollups,"ClaimRoot, RootQuantity, RootDaysSupply, RootTotalAmountPaid, RootPatientPayAmount",5
AetnaRxCompliance,Claims,"LineKey, TapeID, ClaimKey, PatientKey, SubscriberKey, GroupKey, DateFilled, RxNumber, NDC, Pharmacy_NCPDPID, Pharmacy_NPI, PharmacyKey, Quantity, FillNumber, NewOrRefill, DaysSupply, CompoundCode, DateWritten, DispenseAsWritten, PrescriptionOriginCode, IngredientCostSubmitted, DispensingFeeSubmitted, IncentiveAmountSubmitted, FlatSalesTaxAmountSubmitted, PercentageSalesTaxAmountSubmitted, ProfessionalServiceFeeSubmitted, OtherAmountClaimedSubmittedQualifier1, OtherAmountClaimedSubmitted1, OtherAmountClaimedSubmittedQualifier2, OtherAmountClaimedSubmitted2, OtherAmountClaimedSubmittedQualifier3, OtherAmountClaimedSubmitted3, UsualAndCustomaryCharge, GrossAmountDue, BasisOfCostDetermination, PatientPayAmount, IngredientCostPaid, DispensingFeePaid, FlatSalesTaxAmountPaid, PercentageSalesTaxAmountPaid, IncentiveAmountPaid, ProfessionalServiceFeePaid, OtherPayerAmountRecognized, TotalAmountPaid, BasisOfReimbursementDetermination, AmountAppliedToPeriodicDeductible, AmountAttributedToCoverageGap, AmountAttributedToProcessorFee, AmountAttributedToProductSelection, AmountAttributedToProductSelectionBrandDrug, AmountAttributedToProductSelectionBrandNonPreferredFormularySelection, AmountAttributedToProductSelectionNonPreferredFormularySelection, AmountAttributedToProviderNetworkSelection, AmountAttributedToSalesTax, AmountExceedingPeriodicBenefitMaximum, AmountOfCopay, AmountOfCoinsurance, PrescriberIdQualifier, PrescriberId, PrescriberKey, LICSLevel, LowIncomeSubsidyAmount, COBOrder, PBMClaimNumber, AdjustmentIndicatorID, ClaimRoot, PartDPolicyType, DateAdjudicated, DatePaid, CheckDate, CheckNumber, LegalEntityKey, ClientKey, PriorAuthorizationNumberSubmitted, ProductServiceIDQualifier, ProductServiceID, PartDPlanBenefitPackage, PartDContractNumber, AdjustmentCounter, AdjustmentSequence, OtherCoverageCode, OtherAmountPaid1, OtherAmountPaidQualifier1, OtherAmountPaid2, OtherAmountPaidQualifier2, OtherAmountPaid3, OtherAmountPaidQualifier3, CompoundDosageFormDescriptionCode, CompoundDispensingUnitFormIndicator, DrugCoverageStatusCode, Carrier, Account, PatientResidenceCode, PharmacyClientCode, PBMIndicator, FundingIndicator, FundingIndicatorDescription, RecordSource, DERecordKey, ClaimStatus, cClaimKey, cEligibility, cEligibilityOrder, cEligibilityOrder_LineKeyID, cEligibilityOrder_TapeID, cEligibilityDemo, cEligibilityDemo_LineKeyID, cEligibilityDemo_TapeID, cSubscriber, cSubscriberOrder, cSubscriberOrder_LineKeyID, cSubscriberOrder_TapeID, cSubscriberDemo, cSubscriberDemo_LineKeyID, cSubscriberDemo_TapeID, cUnique, isDuplicate, dLineKeyID, dTapeID, isAdjusted, isReversal, isAdjustment, aLineKeyID, aTapeID",124
AetnaRxCompliance,ClaimsFinal,"EligMemberKey, EmployerName, PRM_PartDContractNumber, RXP_PartDContractNumber, PRM_COBCSerial, matchingCOBCSerial, InvestigationId, OrgPRM_RxIDNumber, PRM_RxIDNumber, RXP_RxIDNumber, OrgPRM_RxBINNumber, PRM_RxBINNumber, RXP_RxBINNumber, OrgPRM_RxPCNNumber, PRM_RxPCNNumber, RXP_RxPCNNumber, OrgPRM_EffectiveDate, PRM_EffectiveDate, RXP_EffectiveDate, OrgPRM_TerminationDate, PRM_TerminationDate, RXP_TerminationDate, InsurerName, AllFieldsMatchOriginalPRM, AllFieldsMatchRXP, InvestigationConclusion",26
AetnaRxCompliance,ClaimsPreFinal,"PatientKey, ClaimRoot, ClaimKey, PBMClaimNumber, DateFilled, TotalAmountPaid, DaysSupply, Quantity, PatientPayAmount, PartDContractNumber, RxNumber, FillNumber, NDC, Pharmacy_NPI, Pharmacy_NCPDPID, HIC, SSN, DateOfBirth, GenderCode, RxIDNumber, RxGroupNumber, RxBINNumber, RxPCNNumber, RxPlanTollFreeNumber, SequenceNumber, COBSourceCode, MSPReason, CoverageCode, InsurerName, InsurerAddress1, InsurerAddress2, InsurerCity, InsurerState, InsurerZip, InsurerTIN, IndividualPolicyNumber, GroupPolicyNumber, EffectiveDate, TerminationDate, RelationshipCode, PayerID, PersonCode, PayerOrder, PolicyHolderFirstName, PolicyHolderLastName, PolicyHolderSSN, EmployeeInformationCode, EmployerName, EmployerAddress1, EmployerAddress2, EmployerCity, EmployerState, EmployerZip, Filler, EmployersTIN, Filler2, AttorneyName, AttorneyAddress1, AttorneyAddress2, AttorneyCity, AttorneyState, AttorneyZip, LeadContractor, ClassActionType, AdministratorName, AdministratorAddress1, AdministratorAddress2, AdministratorCity, AdministratorState, AdministratorZip, WCSAAmount, WCSAIndicator, WCMSASettlementDate, AdministratorsTelephone, TotalRxSettlementAmount, RxIncludedWCMSASettlementAmount, EffectiveDateOtherDrugCvg, EligMemberKey, EligEffectiveDate, EligTerminationDate, COBC_Serial",81
AetnaRxCompliance,Claims_backup,"LineKey, TapeID, ClaimKey, PatientKey, SubscriberKey, GroupKey, DateFilled, RxNumber, NDC, Pharmacy_NCPDPID, Pharmacy_NPI, PharmacyKey, Quantity, FillNumber, NewOrRefill, DaysSupply, CompoundCode, DateWritten, DispenseAsWritten, PrescriptionOriginCode, IngredientCostSubmitted, DispensingFeeSubmitted, IncentiveAmountSubmitted, FlatSalesTaxAmountSubmitted, PercentageSalesTaxAmountSubmitted, ProfessionalServiceFeeSubmitted, OtherAmountClaimedSubmittedQualifier1, OtherAmountClaimedSubmitted1, OtherAmountClaimedSubmittedQualifier2, OtherAmountClaimedSubmitted2, OtherAmountClaimedSubmittedQualifier3, OtherAmountClaimedSubmitted3, UsualAndCustomaryCharge, GrossAmountDue, BasisOfCostDetermination, PatientPayAmount, IngredientCostPaid, DispensingFeePaid, FlatSalesTaxAmountPaid, PercentageSalesTaxAmountPaid, IncentiveAmountPaid, ProfessionalServiceFeePaid, OtherPayerAmountRecognized, TotalAmountPaid, BasisOfReimbursementDetermination, AmountAppliedToPeriodicDeductible, AmountAttributedToCoverageGap, AmountAttributedToProcessorFee, AmountAttributedToProductSelection, AmountAttributedToProductSelectionBrandDrug, AmountAttributedToProductSelectionBrandNonPreferredFormularySelection, AmountAttributedToProductSelectionNonPreferredFormularySelection, AmountAttributedToProviderNetworkSelection, AmountAttributedToSalesTax, AmountExceedingPeriodicBenefitMaximum, AmountOfCopay, AmountOfCoinsurance, PrescriberIdQualifier, PrescriberId, PrescriberKey, LICSLevel, LowIncomeSubsidyAmount, COBOrder, PBMClaimNumber, AdjustmentIndicatorID, ClaimRoot, PartDPolicyType, DateAdjudicated, DatePaid, CheckDate, CheckNumber, LegalEntityKey, ClientKey, PriorAuthorizationNumberSubmitted, ProductServiceIDQualifier, ProductServiceID, PartDPlanBenefitPackage, PartDContractNumber, AdjustmentCounter, AdjustmentSequence, OtherCoverageCode, OtherAmountPaid1, OtherAmountPaidQualifier1, OtherAmountPaid2, OtherAmountPaidQualifier2, OtherAmountPaid3, OtherAmountPaidQualifier3, CompoundDosageFormDescriptionCode, CompoundDispensingUnitFormIndicator, DrugCoverageStatusCode, Carrier, Account, PatientResidenceCode, PharmacyClientCode, PBMIndicator, FundingIndicator, FundingIndicatorDescription, RecordSource, DERecordKey, ClaimStatus, cClaimKey, cEligibility, cEligibilityOrder, cEligibilityOrder_LineKeyID, cEligibilityOrder_TapeID, cEligibilityDemo, cEligibilityDemo_LineKeyID, cEligibilityDemo_TapeID, cSubscriber, cSubscriberOrder, cSubscriberOrder_LineKeyID, cSubscriberOrder_TapeID, cSubscriberDemo, cSubscriberDemo_LineKeyID, cSubscriberDemo_TapeID, cUnique, isDuplicate, dLineKeyID, dTapeID, isAdjusted, isReversal, isAdjustment, aLineKeyID, aTapeID",124
AetnaRxCompliance,DTLs,"COBC_Serial, ContractNumber, HIC, DTLPatientKey, EligMemberKey, EligEffectiveDate, EligTerminationDate, TapeID",8
AetnaRxCompliance,EligTapeLineKeyIds,"LineKeyID, TapeID",2
AetnaRxCompliance,EligibilityData,"TapeId, LineKeyId, MemberKey, EffectiveDate, TerminationDate, MemberHICN, PartDContractNumber",7
AetnaRxCompliance,PRMs,"LineKeyID, TapeID, RecordType, HIC, SSN, DateOfBirth, GenderCode, RxIDNumber, RxGroupNumber, RxBINNumber, RxPCNNumber, RxPlanTollFreeNumber, SequenceNumber, COBSourceCode, MSPReason, CoverageCode, InsurerName, InsurerAddress1, InsurerAddress2, InsurerCity, InsurerState, InsurerZip, InsurerTIN, IndividualPolicyNumber, GroupPolicyNumber, EffectiveDate, TerminationDate, RelationshipCode, PayerID, PersonCode, PayerOrder, PolicyHolderFirstName, PolicyHolderLastName, PolicyHolderSSN, EmployeeInformationCode, EmployerName, EmployerAddress1, EmployerAddress2, EmployerCity, EmployerState, EmployerZip, Filler, EmployersTIN, Filler2, AttorneyName, AttorneyAddress1, AttorneyAddress2, AttorneyCity, AttorneyState, AttorneyZip, LeadContractor, ClassActionType, AdministratorName, AdministratorAddress1, AdministratorAddress2, AdministratorCity, AdministratorState, AdministratorZip, WCSAAmount, WCSAIndicator, WCMSASettlementDate, AdministratorsTelephone, TotalRxSettlementAmount, RxIncludedWCMSASettlementAmount, EffectiveDateOtherDrugCvg, RawSequence, cTapeID, cLineKeyID, cUserTapeID, cUserLineKeyID, cDateOfBirth, cEffectiveDate, cTerminationDate, cWCSAAmount, cWCMSASettlementDate, cRxIncludedWCMSASettlementAmount, cEffectiveDateOtherDrugCvg, mHistory, mLatest, isLatest, cUnique, cUniqueOrder, cCheckSum, PatientKey, EligMemberKey, EligEffectiveDate, EligTerminationDate, ContractNumber, COBC_Serial",89
Audits,CignaHospiceAudit03062026,"Audit_Record_Number, DATE_OF_SERVICE, DATE_EFFECTIVE, DATE_IDR_PROCESSED, CLM_ADJST_TYPE_CD, PDE_CLAIM_CONTROL_NO, PDE_CLAIM_UNIQUE_ID, PDE_CLAIM_TYPE_CODE, PDE_CPP_AMT, PDE_NCPP_AMT, PDE_PATIENT_PAID_AMT, PDE_LICS_AMT, PDE_OTHER_TROOP_AMT, PDE_PLRO_AMT, Total_Paid_Amt, PDE_DISPENSING_FEE, PDE_INGREDIENT_COST, PDE_SALES_TAX, Total_Cost, PDE_GDCB_AMT, PDE_GDCA_AMT, PDE_GAP_DISCOUNT_AMT, PDE_VACCINE_ADMIN_FEE, PDE_REBATE_AT_POS, PDE_Package_Size_UoM, PDE_COMPOUND, PDE_PLAN_CHANGE_REASON, PDE_PRESCRIPTION_ORIGIN, PDE_DRUG_COVERAGE_STATUS, PDE_PRICING_EXCEPTION, PDE_CATASTROPHIC_COVERAGE, PDE_PDE_CNT, DRUG_NDC, NDC_PROD_NAME, MULTI_SOURCE, DEA_CLASS_MDDB, DEA_CLASS_FDB, DRUG_BRAND_GENERIC, DRUG_FORMULARY_ID, DRUG_FORMULARY_CODE, GPI, PDE_DAW, PDE_DAYS_SUPPLY, PDE_QUANTITY_DISPENSED, PDE_FILL_NO, PDE_RX_SERVICE_REF_NO, Drug_Subclass, Drug_Subclass_Name, GPPC, Generic_Name, PROD_DESCRIP_ABBRV, PDE_DISPENSING_STATUS, ORIGINAL_CONTRACT_NUMBER, ORIGINAL_PBP_NUMBER, SC_CONTRACT_NUMBER, SC_PBP_NUMBER, Current_Contract_Number, Current_Contract_Name, Contract_Status, Parent_Organization, PDE_NON_STD_FORMAT_CODE, PDE_CARDHOLDER_ID, PDE_HICN, BENE_SK, Beneficiary_Name, Beneficiary_Address, Beneficiary_City, BENEFICIARY_STATE, BENEFICIARY_ZIP_CODE, BENEFICIARY_BIRTH_DATE, BENEFICIARY_DEATH_DATE, BENEFICIARY_SEX, BENEFICIARY_MBI_ID, Audit_Record_Number_1, PATIENT_RESIDENCE_CODE, PHARMACY_ORIGINAL_ID, PHARMACY_QUALIFIER_CODE, Pharmacy_NPI, Pharmacy_DEA, Pharmacy_NCPDP, Pharmacy_Prim_Taxonomy, Pharmacy_Prim_Taxonomy_Descr, Primary_Dispenser_Type_Code, Primary_Dispenser_Type_Descr, Primary_Dispenser_Cls_Code, Primary_Dispenser_Cls_Descr, NCPDP_Pharmacy_Name, NCPDP_DBA_Name, Pharmacy_Address, Pharmacy_City, Pharmacy_State, Pharmacy_Zip_Code, PRESCRIBER_ORIGINAL_ID, Prescriber_NPI, Prescriber_Prim_Taxonomy, Prescriber_Prim_Taxonomy_Descr, Prescriber_Company_Name, Prescriber_Address, Prescriber_City, Prescriber_State, Prescriber_Zip_Code",101
